DATE,LA21_NAME,LA21_CD,NO_QUALIFICATIONS,APPRENTICESHIP,LEVEL_4_QUALIFICATIONS_OR_ABOVE,DISTRICT TOTAL,NO_QUALIFICATIONS_PCT,NO_QUALIFICATIONS_INDEX,APPRENTICESHIP_PCT,APPRENTICESHIP_INDEX,LEVEL_4_QUALIFICATIONS_OR_ABOVE_PCT,LEVEL_4_QUALIFICATIONS_OR_ABOVE_INDEX
2023,Ipswich,E07000202,1060,135,2581,5643,0.19,0.95,0.02,1.23,0.46,1.07
2023,Babergh,E07000200,128,20,343,722,0.18,0.9,0.03,1.43,0.48,1.11
2023,South Norfolk,E07000149,229,33,1244,1979,0.12,0.58,0.02,0.86,0.63,1.47
2023,Norwich,E07000148,721,114,3330,6535,0.11,0.56,0.02,0.9,0.51,1.19
2023,North Norfolk,E07000147,122,17,172,484,0.25,1.27,0.04,1.81,0.36,0.83
2023,King's Lynn and West Norfolk,E07000146,315,42,1344,2276,0.14,0.7,0.02,0.95,0.59,1.38
2023,Great Yarmouth,E07000145,303,40,834,1523,0.2,1,0.03,1.35,0.55,1.28
2023,Broadland,E07000144,268,45,741,1510,0.18,0.9,0.03,1.53,0.49,1.15
2023,Breckland,E07000143,226,30,439,1099,0.21,1.04,0.03,1.4,0.4,0.93
2023,Watford,E07000103,2294,261,10313,18516,0.12,0.63,0.01,0.73,0.56,1.3
2023,Three Rivers,E07000102,735,113,7576,10970,0.07,0.34,0.01,0.53,0.69,1.61
2023,North Hertfordshire,E07000099,859,74,3017,5641,0.15,0.77,0.01,0.67,0.53,1.25
2023,Hertsmere,E07000098,808,117,5616,8839,0.09,0.46,0.01,0.68,0.64,1.49
2023,Dacorum,E07000096,967,111,3592,6942,0.14,0.7,0.02,0.82,0.52,1.21
2023,Broxbourne,E07000095,317,58,1646,2888,0.11,0.55,0.02,1.03,0.57,1.33
2023,Uttlesford,E07000077,162,29,786,1414,0.11,0.58,0.02,1.06,0.56,1.3
2023,Tendring,E07000076,339,40,569,1459,0.23,1.17,0.03,1.41,0.39,0.91
2023,Rochford,E07000075,147,22,516,975,0.15,0.76,0.02,1.16,0.53,1.24
2023,Maldon,E07000074,124,11,273,622,0.2,1.01,0.02,0.91,0.44,1.03
2023,Harlow,E07000073,599,86,2272,4166,0.14,0.73,0.02,1.06,0.55,1.27
2023,Epping Forest,E07000072,769,111,4688,7739,0.1,0.5,0.01,0.74,0.61,1.42
2023,Colchester,E07000071,863,143,4278,7993,0.11,0.55,0.02,0.92,0.54,1.25
2023,Chelmsford,E07000070,618,101,4769,7245,0.09,0.43,0.01,0.72,0.66,1.54
2023,Castle Point,E07000069,239,24,588,1258,0.19,0.96,0.02,0.98,0.47,1.09
2023,Brentwood,E07000068,258,36,2057,3093,0.08,0.42,0.01,0.6,0.67,1.55
2023,Braintree,E07000067,323,49,982,2070,0.16,0.79,0.02,1.22,0.47,1.11
2023,Basildon,E07000066,659,88,3751,6011,0.11,0.55,0.01,0.75,0.62,1.46
2023,South Cambridgeshire,E07000012,432,74,5221,7100,0.06,0.31,0.01,0.54,0.74,1.72
2023,Huntingdonshire,E07000011,714,103,2354,4498,0.16,0.8,0.02,1.18,0.52,1.22
2023,Fenland,E07000010,226,38,420,1049,0.22,1.09,0.04,1.86,0.4,0.94
2023,East Cambridgeshire,E07000009,183,28,844,1386,0.13,0.67,0.02,1.04,0.61,1.42
2023,Cambridge,E07000008,1668,178,11091,18371,0.09,0.46,0.01,0.5,0.6,1.41
